source,target
D0,U1
D0,S89
D0,S107
D0,S115
D0,S149
D0,S211
D0,S252
D0,S314
D0,S345
D0,S457
D0,S512
D0,S525
D0,S549
D0,S552
D0,S581
D0,S687
D0,S692
D0,S843
D0,S844
D0,S924
D1,U2
D1,U7
D1,U11
D1,U15
D1,S16
D1,S33
D1,S82
D1,S171
D1,S173
D1,S203
D1,S211
D1,S223
D1,S252
D1,S321
D1,S329
D1,S379
D1,S406
D1,S454
D1,S491
D1,S540
D1,S560
D1,S561
D1,S565
D1,S638
D1,S771
D1,S784
D1,S792
D1,S804
D1,S824
D1,S862
D1,S918
D1,S976
D2,U5
D2,U10
D2,U13
D2,U17
D2,U24
D2,S8
D2,S10
D2,S182
D2,S238
D2,S365
D2,S451
D2,S550
D2,S621
D2,S627
D2,S659
D2,S695
D2,S784
D2,S813
D2,S849
D2,S896
D2,S912
D2,S981
D3,U14
D3,U15
D3,S19
D3,S21
D3,S243
D3,S301
D3,S408
D3,S445
D3,S469
D3,S487
D3,S550
D3,S609
D3,S611
D3,S633
D3,S679
D3,S701
D3,S705
D3,S762
D3,S789
D3,S850
D3,S918
D3,S946
D4,U10
D4,S28
D4,S30
D4,S41
D4,S44
D4,S72
D4,S233
D4,S254
D4,S296
D4,S329
D4,S389
D4,S698
D4,S754
D4,S755
D4,S773
D4,S859
D4,S860
D4,S976
D5,S44
D5,S54
D5,S98
D5,S121
D5,S132
D5,S210
D5,S343
D5,S356
D5,S358
D5,S409
D5,S433
D5,S567
D5,S706
D5,S709
D5,S745
D5,S805
D5,S811
D5,S867
D5,S898
D5,S937
D5,S940
D6,U0
D6,U2
D6,U7
D6,S103
D6,S186
D6,S187
D6,S195
D6,S248
D6,S262
D6,S389
D6,S395
D6,S413
D6,S414
D6,S431
D6,S441
D6,S571
D6,S596
D6,S668
D6,S689
D6,S705
D6,S815
D6,S826
D6,S839
D6,S984
D7,U2
D7,U9
D7,U15
D7,U21
D7,S13
D7,S18
D7,S83
D7,S105
D7,S200
D7,S259
D7,S335
D7,S388
D7,S406
D7,S412
D7,S421
D7,S452
D7,S502
D7,S518
D7,S552
D7,S557
D7,S767
D7,S787
D7,S788
D7,S792
D7,S874
D7,S916
D7,S941
D7,S964
D8,U8
D8,U10
D8,U22
D8,U24
D8,S88
D8,S134
D8,S138
D8,S140
D8,S241
D8,S254
D8,S268
D8,S315
