source,target
D1,U14
D1,U18
D1,U24
D2,U12
D2,U15
D2,U23
D3,U8
D3,U9
D3,U10
D4,U24
D5,U4
D5,U11
D6,U6
D6,U7
D6,U23
D6,U24
D6,U25
D7,U9
D7,U19
D7,U24
D7,U25
D8,U4
D8,U7
D8,U8
D8,U10
D8,U20
D9,U1
D9,U6
D9,U10
D10,U2
D10,U5
D10,U9
D10,U10
D10,U18
D11,U21
D11,U25
D12,U1
D12,U4
D12,U10
D12,U19
D13,U6
D13,U11
D13,U15
D13,U16
D14,U9
D15,U3
D15,U4
D15,U13
D15,U16
D16,U19
D17,U5
D18,U19
D18,U26
D19,U3
D19,U4
D19,U8
D20,U8
D20,U14
D20,U20
D20,U25
D20,U26
D21,U10
D21,U13
D21,U14
D21,U15
D21,U19
D22,U2
D22,U19
D22,U20
D23,U4
D23,U7
D23,U21
D23,U24
D23,U25
D24,U9
D24,U22
D25,U6
D26,U6
D26,U18
D27,U6
D28,U14
D29,U10
D29,U16
D29,U20
D29,U23
D30,U8
D31,U10
D31,U15
D31,U23
D32,U22
D33,U9
D33,U26
D34,U4
D34,U7
D34,U14
D34,U22
D34,U26
D35,U3
D35,U5
D35,U8
D35,U9
D35,U21
D36,U6
D37,U19
D37,U20
D37,U24
D38,U4
D38,U15
D38,U23
D39,U9
D39,U13
D39,U23
D40,U3
D40,U15
D40,U16
D40,U18
D40,U20
D41,U14
D42,U1
D42,U9
D42,U20
D43,U8
D44,U1
D44,U9
D44,U19
D44,U22
D44,U25
D45,U2
D45,U6
D45,U16
D45,U17
D45,U25
D46,U6
D46,U9
D46,U14
D46,U19
D47,U3
D47,U12
D47,U14
D47,U16
D48,U4
D48,U11
D48,U22
D49,U11
D49,U14
D50,U10
D50,U13
D50,U22
D50,U25
D51,U2
D51,U3
D51,U9
D51,U11
D51,U15
D52,U4
D52,U13
D52,U25
D53,U1
D53,U14
D53,U15
D53,U18
D53,U22
D54,U7
D55,U12
D55,U16
D55,U20
D55,U21
D55,U25
D56,U2
D56,U7
D56,U9
D56,U25
D57,U5
D57,U10
D57,U15
D57,U16
D57,U23
D58,U1
D59,U6
D59,U8
D59,U10
D59,U23
D59,U26
D60,U1
D60,U3
D60,U8
D60,U14
D60,U18
D61,U15
D62,U21
D63,U16
D63,U23
D64,U9
D64,U17
D64,U23
D65,U8
D65,U15
D65,U16
D65,U18
D66,U7
D66,U13
D67,U3
D67,U5
D67,U9
D67,U17
D67,U24
D68,U9
D68,U11
D68,U17
D68,U26
D69,U10
D70,U16
D70,U19
D70,U22
D71,U15
D71,U18
D72,U11
D72,U12
D72,U18
D72,U25
D73,U7
D73,U11
D73,U13
D73,U15
D73,U23
D74,U13
D74,U19
D75,U14
D75,U25
D76,U11
D77,U13
D77,U22
D77,U23
D77,U26
D78,U2
D78,U16
D79,U17
D79,U19
D80,U4
D80,U15
D80,U17
D81,U1
D81,U5
D81,U14
D81,U24
D82,U3
D82,U16
D83,U11
D83,U20
D83,U23
D84,U3
D84,U11
D84,U21
D84,U22
D85,U11
D85,U13
D85,U21
D85,U23
D85,U25
D86,U2
D86,U3
D86,U18
D86,U20
D87,U21
D87,U22
D88,U3
D88,U8
D88,U24
D89,U4
D89,U21
D89,U23
D89,U25
D90,U15
D91,U10
D91,U23
D92,U2
D93,U2
D93,U10
D93,U26
D94,U5
D94,U12
D94,U14
D95,U14
D95,U17
D96,U3
D96,U6
D96,U20
D96,U22
D96,U26
D97,U8
D97,U16
D97,U20
D97,U22
D98,U5
D98,U8
D98,U9
D98,U15
D98,U21
D99,U1
D99,U9
D99,U22
D99,U26
D100,U6
D100,U10
D100,U18
D100,U22
U1,S3
U1,S18
U1,S24
U1,S37
U1,S170
U1,S186
U1,S208
U1,S212
U1,S259
U1,S265
U1,S332
U1,S345
U1,S418
U1,S443
U1,S475
U1,S488
U1,S525
U1,S552
U1,S568
U1,S593
U1,S636
U1,S674
U1,S695
U1,S776
U1,S781
U1,S799
U1,S812
U1,S817
U1,S840
U1,S852
U1,S855
U1,S881
U1,S915
U1,S954
U1,S969
U1,S987
U2,S17
U2,S58
U2,S74
U2,S115
U2,S117
U2,S153
U2,S218
U2,S269
U2,S272
U2,S302
U2,S307
U2,S329
U2,S342
U2,S364
U2,S368
U2,S371
U2,S372
U2,S378
U2,S393
U2,S469
U2,S474
U2,S494
U2,S501
U2,S505
U2,S542
U2,S574
U2,S590
U2,S675
U2,S707
U2,S769
U2,S824
U2,S843
U2,S850
U2,S905
U3,S14
U3,S19
U3,S50
U3,S64
U3,S73
U3,S79
U3,S96
U3,S122
U3,S151
U3,S162
U3,S221
U3,S222
U3,S225
U3,S257
U3,S266
U3,S271
U3,S274
U3,S324
U3,S333
U3,S380
U3,S382
U3,S384
U3,S395
U3,S417
U3,S423
U3,S430
U3,S470
U3,S490
U3,S558
U3,S605
U3,S658
U3,S665
U3,S680
U3,S745
U3,S753
U3,S762
U3,S818
U3,S838
U3,S847
U3,S889
U3,S911
U3,S943
U3,S972
U3,S988
U4,S2
U4,S10
U4,S49
U4,S52
U4,S62
U4,S81
U4,S154
U4,S173
U4,S181
U4,S194
U4,S213
U4,S254
U4,S293
U4,S294
U4,S306
U4,S312
U4,S328
U4,S388
U4,S422
U4,S448
U4,S451
U4,S452
U4,S489
U4,S511
U4,S540
U4,S569
U4,S575
U4,S585
U4,S611
U4,S698
U4,S710
U4,S862
U4,S875
U4,S879
U4,S894
U4,S901
U4,S918
U5,S8
U5,S45
U5,S133
U5,S135
U5,S148
U5,S155
U5,S201
U5,S229
U5,S230
U5,S282
U5,S318
U5,S360
U5,S410
U5,S428
U5,S449
U5,S455
U5,S478
U5,S492
U5,S498
U5,S500
U5,S518
U5,S623
U5,S673
U5,S692
U5,S712
U5,S754
U5,S755
U5,S759
U5,S809
U5,S821
U5,S857
U5,S859
U5,S924
U6,S40
U6,S87
U6,S99
U6,S103
U6,S157
U6,S184
U6,S192
U6,S204
U6,S234
U6,S320
U6,S336
U6,S343
U6,S377
U6,S381
U6,S434
U6,S481
U6,S520
U6,S523
U6,S526
U6,S537
U6,S571
U6,S630
U6,S656
U6,S702
U6,S728
U6,S807
U6,S823
U6,S870
U6,S877
U6,S926
U6,S957
U7,S20
U7,S26
U7,S46
U7,S71
U7,S90
U7,S123
U7,S127
U7,S200
U7,S239
U7,S244
U7,S280
U7,S292
U7,S314
U7,S315
U7,S340
U7,S361
U7,S363
U7,S403
U7,S425
U7,S459
U7,S462
U7,S507
U7,S545
U7,S554
U7,S588
U7,S602
U7,S624
U7,S639
U7,S650
U7,S672
U7,S685
U7,S761
U7,S770
U7,S828
U7,S854
U7,S864
U7,S888
U7,S959
U7,S971
U8,S6
U8,S7
U8,S21
U8,S32
U8,S76
U8,S80
U8,S102
U8,S110
U8,S116
U8,S136
U8,S147
U8,S217
U8,S219
U8,S255
U8,S256
U8,S262
U8,S264
U8,S270
U8,S276
U8,S287
U8,S313
U8,S323
U8,S335
U8,S386
U8,S390
U8,S407
U8,S431
U8,S509
U8,S519
U8,S535
U8,S544
U8,S550
U8,S551
U8,S667
U8,S670
U8,S676
U8,S691
U8,S701
U8,S709
U8,S734
U8,S742
U8,S748
U8,S756
U8,S793
U8,S795
U8,S845
U8,S853
U8,S858
U8,S893
U8,S942
U8,S946
U8,S973
U8,S979
U8,S990
U8,S993
U9,S5
U9,S35
U9,S44
U9,S56
U9,S83
U9,S92
U9,S106
U9,S121
U9,S134
U9,S140
U9,S168
U9,S177
U9,S189
U9,S235
U9,S277
U9,S321
U9,S347
U9,S402
U9,S408
U9,S427
U9,S450
U9,S456
U9,S465
U9,S468
U9,S473
U9,S480
U9,S536
U9,S557
U9,S560
U9,S570
U9,S573
U9,S589
U9,S732
U9,S736
U9,S743
U9,S749
U9,S796
U9,S825
U9,S834
U9,S837
U9,S867
U9,S930
U9,S940
U9,S944
U9,S962
U9,S964
U9,S967
U10,S66
U10,S78
U10,S182
U10,S196
U10,S216
U10,S246
U10,S351
U10,S362
U10,S413
U10,S433
U10,S438
U10,S446
U10,S457
U10,S502
U10,S548
U10,S613
U10,S615
U10,S621
U10,S633
U10,S637
U10,S638
U10,S659
U10,S669
U10,S747
U10,S783
U10,S878
U10,S882
U10,S897
U10,S989
U10,S994
U11,S43
U11,S48
U11,S112
U11,S119
U11,S126
U11,S180
U11,S210
U11,S258
U11,S273
U11,S310
U11,S370
U11,S401
U11,S406
U11,S415
U11,S461
U11,S476
U11,S528
U11,S556
U11,S567
U11,S581
U11,S607
U11,S609
U11,S618
U11,S645
U11,S664
U11,S719
U11,S750
U11,S751
U11,S765
U11,S801
U11,S827
U11,S830
U11,S831
U11,S914
U11,S941
U11,S953
U11,S956
U11,S963
U12,S53
U12,S54
U12,S69
U12,S86
U12,S88
U12,S89
U12,S146
U12,S202
U12,S214
U12,S250
U12,S297
U12,S429
U12,S432
U12,S495
U12,S503
U12,S506
U12,S512
U12,S547
U12,S561
U12,S578
U12,S603
U12,S782
U12,S844
U12,S869
U12,S906
U12,S910
U12,S920
U12,S960
U12,S997
U13,S51
U13,S63
U13,S82
U13,S105
U13,S120
U13,S130
U13,S145
U13,S163
U13,S164
U13,S247
U13,S308
U13,S341
U13,S344
U13,S346
U13,S387
U13,S409
U13,S541
U13,S555
U13,S564
U13,S586
U13,S619
U13,S627
U13,S634
U13,S688
U13,S690
U13,S757
U13,S772
U13,S779
U13,S785
U13,S800
U13,S805
U13,S813
U13,S826
U13,S833
U13,S885
U13,S886
U13,S952
U13,S991
U14,S16
U14,S31
U14,S42
U14,S143
U14,S160
U14,S183
U14,S238
U14,S291
U14,S296
U14,S298
U14,S299
U14,S319
U14,S337
U14,S352
U14,S396
U14,S472
U14,S486
U14,S499
U14,S515
U14,S524
U14,S530
U14,S577
U14,S582
U14,S592
U14,S604
U14,S617
U14,S625
U14,S640
U14,S682
U14,S700
U14,S725
U14,S763
U14,S764
U14,S768
U14,S771
U14,S786
U14,S797
U14,S820
U14,S836
U14,S908
U14,S916
U14,S919
U14,S925
U14,S937
U14,S975
U15,S33
U15,S60
U15,S84
U15,S104
U15,S132
U15,S166
U15,S185
U15,S251
U15,S253
U15,S300
U15,S317
U15,S322
U15,S325
U15,S350
U15,S414
U15,S419
U15,S435
U15,S483
U15,S546
U15,S646
U15,S647
U15,S648
U15,S681
U15,S706
U15,S711
U15,S714
U15,S721
U15,S727
U15,S731
U15,S744
U15,S767
U15,S808
U15,S822
U15,S829
U15,S865
U15,S922
U15,S936
U15,S945
U15,S948
U15,S985
U16,S129
U16,S150
U16,S211
U16,S224
U16,S232
U16,S279
U16,S286
U16,S289
U16,S338
U16,S339
U16,S359
U16,S374
U16,S467
U16,S543
U16,S652
U16,S677
U16,S689
U16,S730
U16,S740
U16,S780
U16,S794
U16,S798
U16,S839
U16,S860
U16,S917
U16,S935
U16,S955
U16,S958
U16,S976
U16,S981
U16,S984
U16,S998
U17,S22
U17,S149
U17,S167
U17,S190
U17,S193
U17,S198
U17,S207
U17,S236
U17,S252
U17,S275
U17,S375
U17,S376
U17,S379
U17,S400
U17,S426
U17,S442
U17,S466
U17,S563
U17,S584
U17,S594
U17,S614
U17,S651
U17,S660
U17,S705
U17,S716
U17,S724
U17,S739
U17,S912
U17,S928
U17,S970
U17,S1000
U18,S13
U18,S25
U18,S30
U18,S61
U18,S65
U18,S100
U18,S109
U18,S138
U18,S139
U18,S169
U18,S175
U18,S205
U18,S227
U18,S233
U18,S240
U18,S261
U18,S281
U18,S316
U18,S327
U18,S331
U18,S356
U18,S367
U18,S424
U18,S436
U18,S445
U18,S454
U18,S484
U18,S487
U18,S493
U18,S497
U18,S514
U18,S566
U18,S596
U18,S622
U18,S635
U18,S708
U18,S717
U18,S726
U18,S752
U18,S766
U18,S787
U18,S790
U18,S811
