source,target
D1,U3
D1,U5
D2,U1
D2,U2
D2,U3
D2,U4
D2,U5
D3,U1
D3,U2
D3,U3
D3,U4
D3,U5
D4,U1
D4,U4
D5,U2
D5,U3
D5,U4
D5,U5
D6,U1
D6,U2
D6,U3
D6,U4
D6,U5
D7,U3
D8,U1
D8,U2
D8,U4
D8,U5
D9,U1
D9,U2
D9,U3
D9,U4
D9,U5
D10,U2
D10,U3
U1,S1
U1,S2
U1,S7
U1,S9
U1,S12
U1,S13
U1,S14
U1,S19
U1,S28
U1,S36
U1,S37
U1,S39
U1,S44
U1,S47
U1,S49
U1,S56
U1,S57
U1,S60
U1,S62
U1,S72
U1,S84
U1,S86
U1,S90
U2,S4
U2,S5
U2,S6
U2,S15
U2,S16
U2,S21
U2,S24
U2,S29
U2,S33
U2,S34
U2,S55
U2,S58
U2,S61
U2,S67
U2,S70
U2,S74
U2,S76
U2,S77
U2,S82
U2,S85
U2,S91
U2,S94
U2,S98
U2,S100
U3,S3
U3,S27
U3,S31
U3,S32
U3,S35
U3,S40
U3,S41
U3,S43
U3,S51
U3,S53
U3,S59
U3,S64
U3,S66
U3,S68
U3,S69
U3,S71
U3,S80
U3,S83
U3,S87
U3,S89
U3,S93
U3,S99
U4,S11
U4,S23
U4,S25
U4,S30
U4,S38
U4,S45
U4,S48
U4,S63
U4,S65
U4,S78
U4,S79
U4,S88
U4,S95
U4,S96
U4,S97
U5,S8
U5,S10
U5,S17
U5,S18
U5,S20
U5,S22
U5,S26
U5,S42
U5,S46
U5,S50
U5,S52
U5,S54
U5,S73
U5,S75
U5,S81
U5,S92
